分野,テーマ,出題数,出題された回数,代表条文
法令,総量規制・過剰貸付けの禁止,72,20,貸金業法第13条の2（過剰貸付け等の禁止） / 貸金業法第13条の3（基準額超過極度方式基本契約に係る調査）
法令,登録・届出,67,20,貸金業法第3条（登録） / 貸金業法第4条（登録の申請）
法令,契約締結時の書面,52,20,貸金業法第17条（契約締結時の書面の交付）
法令,返済能力の調査,44,20,貸金業法第13条（返済能力の調査）
法令,利息制限法・みなし利息,40,19,利息制限法第1条（利息の制限）
法令,契約締結前の書面,32,19,貸金業法第16条の2（契約締結前の書面の交付）
法令,指定信用情報機関・信用情報,29,16,貸金業法第41条の35（個人信用情報の提供） / 貸金業法第41条の13（信用情報提供等業務を行う者の指定）
法令,広告・勧誘の規制,29,19,貸金業法第15条（貸付条件の広告等）
法令,禁止行為・業務運営の規制,28,20,貸金業法第12条の6（禁止行為） / 貸金業法第12条の4（証明書の携帯等）
法令,受取証書・帳簿・書面の保存,27,16,貸金業法第18条（受取証書の交付） / 貸金業法第19条（帳簿の備付け）
法令,監督・行政処分・立入検査,26,14,貸金業法第24条の6の3（業務改善命令） / 貸金業法第24条の6の4（監督上の処分）
法令,貸金業務取扱主任者,21,16,貸金業法第12条の3（貸金業務取扱主任者の設置）
法令,苦情処理・紛争解決,19,16,貸金業法第12条の2の2（指定紛争解決機関との契約締結義務等）
法令,取立て行為の規制,17,14,貸金業法第21条（取立て行為の規制）
法令,日本貸金業協会・自主規制,16,9,
法令,監督指針・内部管理態勢,14,10,
法令,業務委託・事業報告,12,11,
法令,収入の証明・源泉徴収票,11,10,
法令,債権譲渡等の規制,11,9,貸金業法第24条（債権譲渡等の規制）
法令,用語の定義,9,9,
法令,貸付条件等の掲示・標識,8,8,貸金業法第14条（貸付条件等の掲示）
法令,生命保険・公正証書の制限,6,5,
法令,出資法・金利規制,3,3,出資法第5条（高金利の処罰）
貸付実務,意思表示・代理・行為能力,53,19,
貸付実務,弁済・相殺・債権の消滅,42,18,
貸付実務,契約一般・消費貸借,33,19,
貸付実務,保証・連帯債務,27,19,
貸付実務,相続・親族,20,19,
貸付実務,契約の無効・取消し・条件期限,17,12,
貸付実務,担保（抵当権・質権など）,14,14,
貸付実務,倒産処理（破産・再生・調停）,13,12,
貸付実務,手形・小切手・電子記録債権,13,13,
貸付実務,時効,12,11,
貸付実務,民事執行・保全,11,9,
貸付実務,債務不履行・損害賠償,9,9,
貸付実務,会社法・商法,6,6,
貸付実務,民事訴訟・支払督促,6,6,
貸付実務,債権譲渡・債務引受,6,6,
貸付実務,物権・物権変動,1,1,
資金需要者保護,消費者保護（消費者契約法など）,30,17,
資金需要者保護,個人情報の保護,26,18,
資金需要者保護,犯罪収益移転防止・反社会的勢力,21,15,
財務会計,企業会計原則,21,18,
財務会計,損益計算書,11,11,
財務会計,貸借対照表,10,10,
財務会計,キャッシュ・フロー計算書,4,4,
その他,その他,1,1,
