アプリ名,提供元,ジャンル,評価,評価数,価格,公開日,最終更新,検索語,復習,苦手抽出,解説,スキマ時間,出題条件選択,習熟度可視化,学習記録,ゲーム性,連続日数,模試,ランキング,通知,付箋,オフライン,解答時間,目標設定,キャラクター,用語集
Amazon Kindle,AMZN Mobile LLC,Book,4.59044,1108318,0.0,2009-12-14,2026-07-23,暗記,,,,,,,,,,,,,○,,,,,
Duolingo-英語/韓国語などのリスニングや英単語の練習,"Duolingo, Inc",Education,4.54595,736723,0.0,2012-11-13,2026-07-27,TOEIC/単語帳/暗記/英単語,,,,○,,,,○,○,,○,,,,,,○,
Studyplus（スタディプラス）勉強記録＆進路サポート,Studyplus Inc.,Education,4.71507,332704,0.0,2012-03-08,2026-07-27,FP技能士/ITパスポート/勉強タイマー/学習記録,○,,,○,,○,○,,,,,,,,○,,,
英語勉強 mikan 英語の学習 英検®/英会話/英文法,"mikan Co.,Ltd.",Education,4.73613,274266,0.0,2014-10-28,2026-07-27,FP技能士/TOEFL/TOEIC/単語帳,○,○,○,○,,○,○,,,○,,,,,,,○,○
Goodnotes: AI ノート、ドキュメント、PDF,Goodnotes Limited,Productivity,4.67529,261683,0.0,2019-01-15,2026-07-20,学習記録/暗記,○,,,,,,,,,,,,○,,○,,,
漢字検索,telethon k.k.,Reference,4.43966,249453,0.0,2015-03-16,2026-06-03,漢字検定/漢検,,,,,,,,,,,,,,,,,,○
英語の友　旺文社リスニングアプリ,"Obunsha Co.,Ltd.",Education,4.60555,210473,0.0,2017-04-12,2026-05-27,TOEFL/TOEIC/単語帳/検定,,,,○,,,○,,,○,,○,,○,,,,
Grok 生成AI,X Corp.,Productivity,4.68323,158546,0.0,2025-01-18,2026-07-27,暗記,,,,,,,,,,,,,,,,,,
Amazon Audibleオーディオブック,"Audible, Inc.",Book,4.65071,153644,0.0,2010-07-13,2026-07-27,暗記,,,,○,,,,,,,○,,○,○,○,,,
自分で作る単語帳 WordHolic! -暗記カードメーカー,Langholic Ltd.,Education,4.73309,148491,0.0,2018-09-07,2026-07-21,フラッシュカード/一問一答/単語帳/暗記,○,,,,,,,○,,,○,,○,,,,,
漢字検定・漢検漢字トレーニング,"StudySwitch, Inc.",Education,4.51255,144987,0.0,2014-04-23,2026-07-27,QC検定/検定/漢字検定/漢検,,,,,,,,,,,,,,,,,,○
集中｜勉強時間の記録・スマホ依存対策、資格学習や受験に,bondavi Inc.,Education,4.85372,132020,0.0,2018-06-19,2026-07-16,勉強タイマー/学習記録/資格,,○,,,,○,○,,,○,,,,,○,,,
漢字読み方手書き検索辞典,Flipout LLC,Education,4.36925,109347,0.0,2017-07-14,2026-04-14,漢字検定/漢検,,,,,,,,,,,,,,,,,,○
ターゲットの友 英単語アプリ,"Obunsha Co.,Ltd.",Education,4.65535,97197,0.0,2014-04-30,2026-04-20,TOEIC/単語帳/暗記/英単語,○,○,,○,,,○,○,,○,○,,,,,,○,
【オンライン英会話】ネイティブキャンプで発音練習と英語学習,NativeCamp Inc.,Education,4.77752,91706,0.0,2015-12-03,2026-07-29,スキマ時間 学習/学習記録,,,,○,,,,,,,,,,,,,,
モノグサ - 解いて憶える記憶アプリ -,"monoxer, Inc",Education,4.30748,83860,0.0,2017-11-15,2026-07-24,単語帳/暗記/英単語,,○,,,,,,,,,,,,,,,,
Quizlet：単語カードで学びましょう,Quizlet Inc,Education,4.69702,83207,0.0,2012-08-09,2026-07-28,フラッシュカード/単語帳/暗記/英単語,○,,,,,,,,,,,,,○,,,,
Microsoft Copilot,Microsoft Corporation,Productivity,4.69636,78334,0.0,2023-12-29,2026-07-27,暗記,,,○,,,,,,,,,,,,,,,
AI英会話スピーク - スピーキング練習で発音や英語を勉強,"Speakeasy Labs, Inc",Education,4.55543,72782,0.0,2017-12-22,2026-07-22,TOEFL/TOEIC/英単語/英検,○,○,,○,,,,,,,○,,,,,,,
AI英会話スピークバディ-日常英会話・ビジネス英語・発音学習,SpeakBUDDY Ltd.,Education,4.56403,62911,0.0,2016-09-26,2026-07-06,TOEFL/TOEIC/英単語/英検,○,○,○,○,,○,,○,,,,○,,,,,,
ELSA Speak：パーソナライズされた英会話アプリ,"ELSA, Corp.",Education,4.57895,62313,0.0,2016-03-08,2026-07-17,TOEFL,,,,,,,,,,,,,,,,,,
トレーニング TOEIC ® test,Flipout LLC,Education,4.67623,61285,0.0,2017-08-28,2026-06-16,ITパスポート/TOEIC/英単語,,,,○,,,,,,,,,,,,,,
パルシィ,Kodansha Ltd.,Book,4.5297,57952,0.0,2018-03-15,2026-07-13,マンション管理士,,,,,,,,,,,,,,,,,,
abceed: TOEIC®・英語学習・英検・英会話アプリ,Globee Inc.,Education,4.75017,55975,0.0,2015-12-15,2026-07-28,TOEFL/TOEIC/単語帳/英単語,,○,,,,○,,,,,,,,,,,,○
