順位,アプリ名,提供元,ジャンル,評価,評価数,画面の緑,緑の系統,画面に占める緑,相方の色,アイコンも緑,公開日,最終更新,App Store
1,漢字検定・漢検漢字トレーニング,"StudySwitch, Inc.",Education,4.51,144987,#396024,深緑,50%,黄,,2014-04-23,2026-07-27,https://apps.apple.com/jp/app/id843003884
2,宅建 過去問 2026 - 独学TODAY,Trips LLC,Education,4.76,41205,#01843A,深緑,76%,赤,○,2018-10-03,2026-06-14,https://apps.apple.com/jp/app/id1437470550
3,ITパスポート 全問解説 - 独学TODAY,Trips LLC,Education,4.72,23012,#279F00,中間の緑,69%,赤,○,2018-12-15,2026-07-13,https://apps.apple.com/jp/app/id1445110474
4,小学生漢字ドリル：ひとコマ漢字,Kazue Kuga,Education,4.76,15181,#94E03E,黄緑（ライム）,70%,青,○,2020-06-22,2025-12-02,https://apps.apple.com/jp/app/id1519144792
5,中学生漢字(手書き＆読み方),"StudySwitch, Inc.",Education,4.57,12845,#385C24,深緑,51%,黄,,2012-07-03,2025-12-16,https://apps.apple.com/jp/app/id538768854
6,Knockノック-英語・数学の問題を解いてくれる勉強アプリ,Hanji Inc.,Education,4.76,11210,#7FF079,明るい緑,84%,黄,○,2024-10-02,2026-07-16,https://apps.apple.com/jp/app/id6479194410
7,Forest - 集中･勉強タイマー,"SEEKRTECH CO., LTD.",Productivity,4.7,10350,#5FBD99,青緑寄りの緑（エメラルド）,58%,青緑,,2014-05-10,2026-07-25,https://apps.apple.com/jp/app/id866450515
8,シフター：シフトカレンダーでバイトや介護のシフト管理,Kosuke Hamada,Productivity,4.38,6875,#DAFF7E,黄緑（ライム）,61%,橙,,2018-12-08,2025-03-13,https://apps.apple.com/jp/app/id1441499274
9,漢字(漢検)勉強・2人でできるオンライン対戦ゲーム：漢字道場,Kazue Kuga,Education,4.75,6330,#60913A,黄緑（ライム）,91%,橙,,2022-06-02,2026-07-29,https://apps.apple.com/jp/app/id1621992804
10,行政書士 過去問 2026,Trips LLC,Education,4.73,5993,#03843A,深緑,74%,赤,○,2021-04-21,2026-06-24,https://apps.apple.com/jp/app/id1562962360
11,中学・高校の国語文法,"StudySwitch, Inc.",Education,4.69,5176,#3A6223,深緑,61%,黄,,2017-10-06,2025-10-15,https://apps.apple.com/jp/app/id1281824968
12,生物の王様-高校生物・生物基礎・中学理科の問題集&勉強アプリ,HANAUTA INC.,Education,4.6,4370,#638F2B,黄緑（ライム）,85%,橙,○,2021-01-20,2026-07-23,https://apps.apple.com/jp/app/id1546687700
13,脳トレ！大人の漢字ナンクロ,nullhouse Inc.,Education,4.2,4311,#22884F,深緑,96%,赤,○,2020-08-14,2025-11-23,https://apps.apple.com/jp/app/id1527701421
14,原付免許の王様 - バイク免許の学科試験 勉強＆問題集アプリ,HANAUTA INC.,Education,4.39,4228,#44B142,中間の緑,85%,橙,○,2012-04-04,2026-07-22,https://apps.apple.com/jp/app/id514521225
15,漢検準1級 - 漢字検定対策問題集,kenji uchi,Education,4.63,3442,#00B700,中間の緑,96%,なし（緑＋無彩色のみ）,○,2020-12-05,2026-04-20,https://apps.apple.com/jp/app/id1543308443
16,中学生レベルの漢字テスト - 手書き漢字勉強アプリ,"StudySwitch, Inc.",Education,4.58,2808,#6BC24D,中間の緑,72%,橙,○,2018-04-22,2025-12-08,https://apps.apple.com/jp/app/id1371296112
17,基本情報技術者試験（科目A・科目B）全問解説,Trips LLC,Education,4.71,2631,#279F00,中間の緑,77%,赤,○,2022-09-21,2026-07-23,https://apps.apple.com/jp/app/id1644966017
18,クラウドプラクティショナー模擬試験アプリ,Naohito Muraoka,Education,4.5,2341,#67AE5B,中間の緑,84%,なし（緑＋無彩色のみ）,○,2020-04-25,2026-06-20,https://apps.apple.com/jp/app/id1509436492
19,小学生英語ドリル - 英単語・英会話フレーズ,"StudySwitch, Inc.",Education,4.61,2239,#487416,黄緑（ライム）,50%,黄,,2022-08-01,2026-06-05,https://apps.apple.com/jp/app/id1635678448
20,国語(現代文)の王様-中学・高校国語の問題集＆勉強アプリ,HANAUTA INC.,Education,4.65,1893,#299846,中間の緑,86%,橙,○,2021-10-25,2026-07-23,https://apps.apple.com/jp/app/id1591147183
21,運転免許の学習アプリ　仮免・本免学科試験問題集　普通自動車,"NAVITIME JAPAN CO.,LTD.",Education,4.71,1568,#A2F1AA,明るい緑,99%,なし（緑＋無彩色のみ）,○,2022-02-13,2025-09-10,https://apps.apple.com/jp/app/id1608846202
22,地理の王様-高校地理・中学地理を勉強する問題集アプリ,HANAUTA INC.,Education,4.36,1484,#46805D,深緑,84%,橙,○,2014-12-17,2026-07-30,https://apps.apple.com/jp/app/id941496171
23,英検®準1級 でた単,Namiko Takahashi,Education,4.75,1475,#3AB591,青緑寄りの緑（エメラルド）,100%,なし（緑＋無彩色のみ）,○,2018-08-09,2026-07-26,https://apps.apple.com/jp/app/id1406157182
